codice_proiezione,data_ora_proiezione,titolo_film,genere,regista,anno,durata_minuti,eta_minima,prezzo_biglietto
PRO000020,2018-01-11 10:00:00,Mr. Smith Goes to Washington,Comedy,Frank Capra,1939,129,12,7.50
PRO000021,2018-01-11 13:00:00,Dangal,Action,Nitesh Tiwari,2016,161,0,8.00
PRO000022,2018-01-11 16:30:00,Singin' in the Rain,Comedy,Stanley Donen,1952,103,0,7.50
PRO000023,2018-01-12 10:30:00,Dangal,Action,Nitesh Tiwari,2016,161,0,8.00
PRO000024,2018-01-12 14:00:00,Dangal,Action,Nitesh Tiwari,2016,161,0,6.50
PRO000025,2018-01-12 17:30:00,Singin' in the Rain,Comedy,Stanley Donen,1952,103,0,6.50
PRO000026,2018-01-13 10:30:00,Mr. Smith Goes to Washington,Comedy,Frank Capra,1939,129,12,7.50
PRO000027,2018-01-13 13:30:00,Sing Street,Comedy,John Carney,2016,106,12,7.00
PRO000028,2018-01-13 16:00:00,Singin' in the Rain,Comedy,Stanley Donen,1952,103,0,6.50
PRO000029,2018-01-14 10:30:00,Dial M for Murder,Crime,Alfred Hitchcock,1954,105,12,6.50
PRO000030,2018-01-14 13:00:00,Once Upon a Time in the West,Western,Sergio Leone,1968,165,0,8.00
PRO000031,2018-01-14 16:30:00,Sing Street,Comedy,John Carney,2016,106,12,8.00
PRO000032,2018-01-14 19:00:00,A Night at the Opera,Comedy,Sam Wood,1935,96,12,10.00
PRO000033,2018-01-15 10:00:00,Dog Day Afternoon,Biography,Sidney Lumet,1975,125,0,8.00
PRO000034,2018-01-15 13:00:00,Sing Street,Comedy,John Carney,2016,106,12,7.00
PRO000035,2018-01-15 15:30:00,Lethal Weapon,Action,Richard Donner,1987,109,12,7.50
PRO000036,2018-01-16 10:30:00,Singin' in the Rain,Comedy,Stanley Donen,1952,103,0,7.00
PRO000037,2018-01-17 10:30:00,Bronenosets Potemkin,Drama,Sergei M. Eisenstein,1925,75,12,7.50
PRO000038,2018-01-17 12:30:00,Singin' in the Rain,Comedy,Stanley Donen,1952,103,0,8.50
PRO000039,2018-01-17 15:00:00,Dial M for Murder,Crime,Alfred Hitchcock,1954,105,12,7.00
PRO000040,2018-01-18 10:30:00,Sing Street,Comedy,John Carney,2016,106,12,8.00
PRO000041,2018-01-18 13:00:00,Lethal Weapon,Action,Richard Donner,1987,109,12,7.50
PRO000042,2018-01-19 10:00:00,The Long Goodbye,Comedy,Robert Altman,1973,112,12,7.50
PRO000043,2018-01-19 12:30:00,Koe no katachi,Animation,Naoko Yamada,2016,130,12,6.50
PRO000044,2018-01-20 10:30:00,Das Cabinet des Dr. Caligari,Fantasy,Robert Wiene,1920,76,12,8.00
PRO000045,2018-01-20 12:30:00,Sing Street,Comedy,John Carney,2016,106,12,7.00
PRO000046,2018-01-20 15:00:00,Dog Day Afternoon,Biography,Sidney Lumet,1975,125,0,6.50
PRO000047,2018-01-20 18:00:00,Sing Street,Comedy,John Carney,2016,106,12,10.00
PRO000048,2018-01-21 10:30:00,Dangal,Action,Nitesh Tiwari,2016,161,0,7.50
PRO000049,2018-01-21 14:00:00,Koe no katachi,Animation,Naoko Yamada,2016,130,12,8.00
PRO000050,2018-01-21 17:00:00,Bronenosets Potemkin,Drama,Sergei M. Eisenstein,1925,75,12,7.50
PRO000051,2018-01-21 19:00:00,Dog Day Afternoon,Biography,Sidney Lumet,1975,125,0,10.00
PRO000052,2018-01-22 10:30:00,Das Cabinet des Dr. Caligari,Fantasy,Robert Wiene,1920,76,12,8.50
PRO000053,2018-01-23 10:30:00,Dial M for Murder,Crime,Alfred Hitchcock,1954,105,12,8.00
PRO000054,2018-01-24 10:30:00,The Long Goodbye,Comedy,Robert Altman,1973,112,12,8.00
PRO000055,2018-01-24 13:00:00,Dial M for Murder,Crime,Alfred Hitchcock,1954,105,12,6.50
PRO000056,2018-01-24 15:30:00,The Dirty Dozen,Action,Robert Aldrich,1967,150,12,6.50
PRO000057,2018-01-25 10:30:00,Sing Street,Comedy,John Carney,2016,106,12,6.50
PRO000058,2018-01-26 10:30:00,Bronenosets Potemkin,Drama,Sergei M. Eisenstein,1925,75,12,7.00
PRO000059,2018-01-26 12:30:00,The Long Goodbye,Comedy,Robert Altman,1973,112,12,8.00
PRO000060,2018-01-27 10:00:00,Dangal,Action,Nitesh Tiwari,2016,161,0,7.50
PRO000061,2018-01-27 13:30:00,Bronenosets Potemkin,Drama,Sergei M. Eisenstein,1925,75,12,7.50
PRO000062,2018-01-27 15:30:00,Sing Street,Comedy,John Carney,2016,106,12,6.50
PRO000063,2018-01-27 18:00:00,The Day the Earth Stood Still,Drama,Robert Wise,1951,92,0,9.00
PRO000064,2018-01-28 10:30:00,The Day the Earth Stood Still,Drama,Robert Wise,1951,92,0,7.50
PRO000065,2018-01-28 13:00:00,Mr. Smith Goes to Washington,Comedy,Frank Capra,1939,129,12,7.00
PRO000066,2018-01-28 16:00:00,Badlands,Action,Terrence Malick,1973,94,6,8.50
PRO000067,2018-01-29 10:30:00,Koe no katachi,Animation,Naoko Yamada,2016,130,12,7.50
PRO000068,2018-01-30 10:00:00,Bronenosets Potemkin,Drama,Sergei M. Eisenstein,1925,75,12,7.00
PRO000069,2018-01-31 10:30:00,Badlands,Action,Terrence Malick,1973,94,6,8.50
PRO000070,2018-02-01 10:30:00,Dial M for Murder,Crime,Alfred Hitchcock,1954,105,12,8.00
PRO000071,2018-02-02 10:30:00,Secrets & Lies,Comedy,Mike Leigh,1996,136,0,8.00
PRO000072,2018-02-03 10:30:00,The Last Emperor,Biography,Bernardo Bertolucci,1987,163,0,7.00
PRO000073,2018-02-03 14:00:00,The Day the Earth Stood Still,Drama,Robert Wise,1951,92,0,8.50
PRO000074,2018-02-03 16:30:00,Badlands,Action,Terrence Malick,1973,94,6,7.00
PRO000075,2018-02-04 10:00:00,Dog Day Afternoon,Biography,Sidney Lumet,1975,125,0,8.00
PRO000076,2018-02-04 13:00:00,Dangal,Action,Nitesh Tiwari,2016,161,0,8.50
PRO000077,2018-02-04 16:30:00,The Long Goodbye,Comedy,Robert Altman,1973,112,12,8.00
PRO000078,2018-02-04 19:00:00,Dangal,Action,Nitesh Tiwari,2016,161,0,9.00
PRO000079,2018-02-05 10:30:00,The Long Goodbye,Comedy,Robert Altman,1973,112,12,8.50
PRO000080,2018-02-06 10:30:00,Hana-bi,Crime,Takeshi Kitano,1997,103,12,6.50
PRO000081,2018-02-06 13:00:00,Singin' in the Rain,Comedy,Stanley Donen,1952,103,0,6.50
PRO000082,2018-02-06 15:30:00,Hana-bi,Crime,Takeshi Kitano,1997,103,12,7.00
PRO000083,2018-02-07 10:00:00,Dog Day Afternoon,Biography,Sidney Lumet,1975,125,0,6.50
PRO000084,2018-02-07 13:00:00,Dangal,Action,Nitesh Tiwari,2016,161,0,7.50
PRO000085,2018-02-07 16:30:00,Ba wang bie ji,Drama,Kaige Chen,1993,171,16,7.50
PRO000086,2018-02-08 10:00:00,American History X,Drama,Tony Kaye,1998,119,16,8.50
PRO000087,2018-02-08 12:30:00,Lethal Weapon,Action,Richard Donner,1987,109,12,7.00
PRO000088,2018-02-08 15:30:00,Secrets & Lies,Comedy,Mike Leigh,1996,136,0,8.50
PRO000089,2018-02-09 10:30:00,Escape from Alcatraz,Action,Don Siegel,1979,112,12,7.50
PRO000090,2018-02-09 13:30:00,Bronenosets Potemkin,Drama,Sergei M. Eisenstein,1925,75,12,7.00
PRO000091,2018-02-10 10:00:00,The Day the Earth Stood Still,Drama,Robert Wise,1951,92,0,7.00
PRO000092,2018-02-10 12:30:00,Lethal Weapon,Action,Richard Donner,1987,109,12,8.00
PRO000093,2018-02-10 15:00:00,Bronenosets Potemkin,Drama,Sergei M. Eisenstein,1925,75,12,8.00
PRO000094,2018-02-11 10:30:00,A Man for All Seasons,Biography,Fred Zinnemann,1966,120,0,8.50
PRO000095,2018-02-11 13:30:00,The Naked Gun: From the Files of Police Squad!,Comedy,David Zucker,1988,85,0,6.50
PRO000096,2018-02-11 15:30:00,Escape from Alcatraz,Action,Don Siegel,1979,112,12,7.00
PRO000097,2018-02-12 10:30:00,Stalker,Drama,Andrei Tarkovsky,1979,162,0,7.00
PRO000098,2018-02-13 10:30:00,Dog Day Afternoon,Biography,Sidney Lumet,1975,125,0,7.00
PRO000099,2018-02-13 13:30:00,Bronenosets Potemkin,Drama,Sergei M. Eisenstein,1925,75,12,6.50
PRO000100,2018-02-14 10:30:00,Sing Street,Comedy,John Carney,2016,106,12,8.50
PRO000101,2018-02-14 13:00:00,Sherlock Jr.,Action,Buster Keaton,1924,45,12,7.50
PRO000102,2018-02-15 10:00:00,Hiroshima mon amour,Drama,Alain Resnais,1959,90,12,8.50
PRO000103,2018-02-15 12:30:00,Ba wang bie ji,Drama,Kaige Chen,1993,171,16,8.00
PRO000104,2018-02-16 10:30:00,Sherlock Jr.,Action,Buster Keaton,1924,45,12,6.50
PRO000105,2018-02-16 12:00:00,Dial M for Murder,Crime,Alfred Hitchcock,1954,105,12,8.50
PRO000106,2018-02-16 14:30:00,Dangal,Action,Nitesh Tiwari,2016,161,0,6.50
PRO000107,2018-02-17 10:30:00,Hiroshima mon amour,Drama,Alain Resnais,1959,90,12,6.50
PRO000108,2018-02-17 13:00:00,Platoon,Drama,Oliver Stone,1986,120,12,8.50
PRO000109,2018-02-17 16:00:00,Secrets & Lies,Comedy,Mike Leigh,1996,136,0,8.50
PRO000110,2018-02-18 10:30:00,Sing Street,Comedy,John Carney,2016,106,12,6.50
PRO000111,2018-02-18 13:00:00,Platoon,Drama,Oliver Stone,1986,120,12,8.00
PRO000112,2018-02-18 16:00:00,Il postino,Biography,Michael Radford,1994,108,0,6.50
PRO000113,2018-02-19 10:00:00,Key Largo,Action,John Huston,1948,100,12,7.50
PRO000114,2018-02-20 10:00:00,A Night at the Opera,Comedy,Sam Wood,1935,96,12,6.50
PRO000115,2018-02-21 10:00:00,The Long Goodbye,Comedy,Robert Altman,1973,112,12,6.50
PRO000116,2018-02-21 12:30:00,Ba wang bie ji,Drama,Kaige Chen,1993,171,16,8.50
PRO000117,2018-02-21 16:00:00,Hiroshima mon amour,Drama,Alain Resnais,1959,90,12,7.00
PRO000118,2018-02-22 10:00:00,Koe no katachi,Animation,Naoko Yamada,2016,130,12,7.50
PRO000119,2018-02-22 13:00:00,Secrets & Lies,Comedy,Mike Leigh,1996,136,0,7.00
PRO000120,2018-02-22 16:00:00,Hana-bi,Crime,Takeshi Kitano,1997,103,12,8.50
PRO000121,2018-02-23 10:30:00,A Night at the Opera,Comedy,Sam Wood,1935,96,12,8.50
PRO000122,2018-02-24 10:30:00,Kimi no na wa.,Animation,Makoto Shinkai,2016,106,0,7.00
PRO000123,2018-02-24 13:00:00,Badlands,Action,Terrence Malick,1973,94,6,8.50
PRO000124,2018-02-24 15:30:00,The Apartment,Comedy,Billy Wilder,1960,125,0,7.00
PRO000125,2018-02-25 10:30:00,Kimi no na wa.,Animation,Makoto Shinkai,2016,106,0,6.50
PRO000126,2018-02-25 13:00:00,Koe no katachi,Animation,Naoko Yamada,2016,130,12,6.50
PRO000127,2018-02-25 16:00:00,Ba wang bie ji,Drama,Kaige Chen,1993,171,16,7.00
PRO000128,2018-02-26 10:00:00,Kind Hearts and Coronets,Comedy,Robert Hamer,1949,106,0,6.50
PRO000129,2018-02-26 13:00:00,What's Eating Gilbert Grape,Drama,Lasse Hallström,1993,118,0,8.00
PRO000130,2018-02-27 10:00:00,American History X,Drama,Tony Kaye,1998,119,16,8.50
PRO000131,2018-02-27 13:00:00,Il postino,Biography,Michael Radford,1994,108,0,7.00
PRO000132,2018-02-28 10:00:00,Terminator 2: Judgment Day,Action,James Cameron,1991,137,0,8.00
PRO000133,2018-02-28 13:00:00,Il postino,Biography,Michael Radford,1994,108,0,8.50
PRO000134,2018-03-01 10:30:00,Dial M for Murder,Crime,Alfred Hitchcock,1954,105,12,8.00
PRO000135,2018-03-01 13:00:00,Bronenosets Potemkin,Drama,Sergei M. Eisenstein,1925,75,12,6.50
PRO000136,2018-03-01 15:00:00,Terminator 2: Judgment Day,Action,James Cameron,1991,137,0,7.00
PRO000137,2018-03-02 10:00:00,Kind Hearts and Coronets,Comedy,Robert Hamer,1949,106,0,7.50
PRO000138,2018-03-02 12:30:00,Badlands,Action,Terrence Malick,1973,94,6,8.00
PRO000139,2018-03-03 10:00:00,To Be or Not to Be,Comedy,Ernst Lubitsch,1942,99,12,8.00
PRO000140,2018-03-03 12:30:00,Hiroshima mon amour,Drama,Alain Resnais,1959,90,12,7.00
PRO000141,2018-03-03 14:30:00,Terminator 2: Judgment Day,Action,James Cameron,1991,137,0,6.50
PRO000142,2018-03-04 10:00:00,Escape from Alcatraz,Action,Don Siegel,1979,112,12,6.50
PRO000143,2018-03-04 12:30:00,To Be or Not to Be,Comedy,Ernst Lubitsch,1942,99,12,7.00
PRO000144,2018-03-04 15:00:00,Hana-bi,Crime,Takeshi Kitano,1997,103,12,8.00
PRO000145,2018-03-05 10:00:00,The Dirty Dozen,Action,Robert Aldrich,1967,150,12,7.00
PRO000146,2018-03-05 13:30:00,Patton,Biography,Franklin J. Schaffner,1970,172,0,8.50
PRO000147,2018-03-06 10:30:00,The Last Emperor,Biography,Bernardo Bertolucci,1987,163,0,6.50
PRO000148,2018-03-07 10:30:00,Midnight Cowboy,Drama,John Schlesinger,1969,113,12,8.00
PRO000149,2018-03-07 13:00:00,Il postino,Biography,Michael Radford,1994,108,0,8.50
PRO000150,2018-03-07 15:30:00,Patton,Biography,Franklin J. Schaffner,1970,172,0,8.00
PRO000151,2018-03-08 10:30:00,Sherlock Jr.,Action,Buster Keaton,1924,45,12,8.50
PRO000152,2018-03-08 12:00:00,What Ever Happened to Baby Jane?,Drama,Robert Aldrich,1962,134,12,6.50
PRO000153,2018-03-08 15:00:00,Ba wang bie ji,Drama,Kaige Chen,1993,171,16,7.50
PRO000154,2018-03-09 10:30:00,The Apartment,Comedy,Billy Wilder,1960,125,0,8.00
PRO000155,2018-03-09 13:30:00,Badlands,Action,Terrence Malick,1973,94,6,6.50
PRO000156,2018-03-09 16:00:00,Kind Hearts and Coronets,Comedy,Robert Hamer,1949,106,0,7.00
PRO000157,2018-03-10 10:00:00,Kind Hearts and Coronets,Comedy,Robert Hamer,1949,106,0,8.00
PRO000158,2018-03-10 12:30:00,Tôkyô monogatari,Drama,Yasujirô Ozu,1953,136,0,7.50
PRO000159,2018-03-10 15:30:00,Il postino,Biography,Michael Radford,1994,108,0,7.50
PRO000160,2018-03-11 10:30:00,On the Waterfront,Crime,Elia Kazan,1954,108,12,7.00
PRO000161,2018-03-11 13:00:00,Indiana Jones and the Last Crusade,Action,Steven Spielberg,1989,127,0,8.00
PRO000162,2018-03-11 16:00:00,Tôkyô monogatari,Drama,Yasujirô Ozu,1953,136,0,8.50
PRO000163,2018-03-12 10:30:00,Tôkyô monogatari,Drama,Yasujirô Ozu,1953,136,0,8.50
PRO000164,2018-03-12 13:30:00,Midnight Cowboy,Drama,John Schlesinger,1969,113,12,7.00
PRO000165,2018-03-12 16:00:00,Hana-bi,Crime,Takeshi Kitano,1997,103,12,7.50
PRO000166,2018-03-13 10:00:00,On the Waterfront,Crime,Elia Kazan,1954,108,12,8.00
PRO000167,2018-03-13 12:30:00,Midnight Cowboy,Drama,John Schlesinger,1969,113,12,7.50
PRO000168,2018-03-14 10:30:00,Hiroshima mon amour,Drama,Alain Resnais,1959,90,12,7.50
PRO000169,2018-03-14 13:00:00,What Ever Happened to Baby Jane?,Drama,Robert Aldrich,1962,134,12,6.50
PRO000170,2018-03-15 10:30:00,Indiana Jones and the Last Crusade,Action,Steven Spielberg,1989,127,0,8.50
PRO000171,2018-03-15 13:30:00,Kimi no na wa.,Animation,Makoto Shinkai,2016,106,0,7.00
PRO000172,2018-03-15 16:00:00,The Apartment,Comedy,Billy Wilder,1960,125,0,8.50
PRO000173,2018-03-16 10:30:00,Harold and Maude,Comedy,Hal Ashby,1971,91,6,8.00
PRO000174,2018-03-16 13:00:00,American History X,Drama,Tony Kaye,1998,119,16,8.50
PRO000175,2018-03-16 15:30:00,Il postino,Biography,Michael Radford,1994,108,0,8.50
PRO000176,2018-03-17 10:30:00,La haine,Crime,Mathieu Kassovitz,1995,98,12,8.00
PRO000177,2018-03-17 13:00:00,Kind Hearts and Coronets,Comedy,Robert Hamer,1949,106,0,8.50
PRO000178,2018-03-17 16:00:00,Guardians of the Galaxy Vol. 2,Action,James Gunn,2017,136,12,7.50
PRO000179,2018-03-17 19:00:00,Key Largo,Action,John Huston,1948,100,12,9.00
PRO000180,2018-03-18 10:00:00,Harold and Maude,Comedy,Hal Ashby,1971,91,6,7.00
PRO000181,2018-03-18 12:30:00,Sweet Smell of Success,Drama,Alexander Mackendrick,1957,96,12,7.00
PRO000182,2018-03-18 15:00:00,To Be or Not to Be,Comedy,Ernst Lubitsch,1942,99,12,8.00
PRO000183,2018-03-19 10:00:00,Tôkyô monogatari,Drama,Yasujirô Ozu,1953,136,0,8.50
PRO000184,2018-03-19 13:00:00,Sherlock Jr.,Action,Buster Keaton,1924,45,12,7.00
PRO000185,2018-03-19 14:30:00,On the Waterfront,Crime,Elia Kazan,1954,108,12,8.00
PRO000186,2018-03-20 10:00:00,Sweet Smell of Success,Drama,Alexander Mackendrick,1957,96,12,6.50
PRO000187,2018-03-20 12:30:00,Mary Poppins,Comedy,Robert Stevenson,1964,139,0,8.50
PRO000188,2018-03-21 10:00:00,Harold and Maude,Comedy,Hal Ashby,1971,91,6,8.50
PRO000189,2018-03-22 10:30:00,Das Boot,Adventure,Wolfgang Petersen,1981,149,16,8.50
PRO000190,2018-03-22 13:30:00,Sing Street,Comedy,John Carney,2016,106,12,8.50
PRO000191,2018-03-23 10:00:00,Hana-bi,Crime,Takeshi Kitano,1997,103,12,6.50
PRO000192,2018-03-23 12:30:00,Harold and Maude,Comedy,Hal Ashby,1971,91,6,8.00
PRO000193,2018-03-23 15:00:00,Ayla: The Daughter of War,Biography,Can Ulkay,2017,125,12,8.50
PRO000194,2018-03-24 10:00:00,Brief Encounter,Drama,David Lean,1945,86,0,6.50
PRO000195,2018-03-24 12:30:00,Rosemary's Baby,Drama,Roman Polanski,1968,137,12,8.00
PRO000196,2018-03-24 15:30:00,Brief Encounter,Drama,David Lean,1945,86,0,6.50
PRO000197,2018-03-24 18:00:00,Harold and Maude,Comedy,Hal Ashby,1971,91,6,9.50
PRO000198,2018-03-25 10:00:00,Tôkyô monogatari,Drama,Yasujirô Ozu,1953,136,0,7.00
PRO000199,2018-03-25 13:00:00,Brief Encounter,Drama,David Lean,1945,86,0,7.00
PRO000200,2018-03-25 15:30:00,Terminator 2: Judgment Day,Action,James Cameron,1991,137,0,7.50
PRO000201,2018-03-26 10:00:00,Midnight Cowboy,Drama,John Schlesinger,1969,113,12,7.50
PRO000202,2018-03-26 12:30:00,Stalker,Drama,Andrei Tarkovsky,1979,162,0,7.00
PRO000203,2018-03-27 10:00:00,Rosemary's Baby,Drama,Roman Polanski,1968,137,12,8.00
PRO000204,2018-03-27 13:00:00,Patton,Biography,Franklin J. Schaffner,1970,172,0,7.50
PRO000205,2018-03-28 10:00:00,Tôkyô monogatari,Drama,Yasujirô Ozu,1953,136,0,8.00
PRO000206,2018-03-28 13:00:00,Underground,Comedy,Emir Kusturica,1995,170,12,7.50
PRO000207,2018-03-29 10:30:00,Tôkyô monogatari,Drama,Yasujirô Ozu,1953,136,0,8.00
PRO000208,2018-03-29 13:30:00,Il postino,Biography,Michael Radford,1994,108,0,7.00
PRO000209,2018-03-29 16:00:00,Rosemary's Baby,Drama,Roman Polanski,1968,137,12,7.00
PRO000210,2018-03-30 10:00:00,Das Boot,Adventure,Wolfgang Petersen,1981,149,16,7.00
PRO000211,2018-03-30 13:30:00,Ayla: The Daughter of War,Biography,Can Ulkay,2017,125,12,7.00
PRO000212,2018-03-30 16:30:00,Brief Encounter,Drama,David Lean,1945,86,0,7.00
PRO000213,2018-03-31 10:00:00,Indiana Jones and the Last Crusade,Action,Steven Spielberg,1989,127,0,8.50
PRO000214,2018-03-31 13:00:00,Brief Encounter,Drama,David Lean,1945,86,0,6.50
PRO000215,2018-03-31 15:30:00,The Killing Fields,Biography,Roland Joffé,1984,141,12,7.00
PRO000216,2018-03-31 18:30:00,Harold and Maude,Comedy,Hal Ashby,1971,91,6,9.00
PRO000217,2018-04-01 10:00:00,La haine,Crime,Mathieu Kassovitz,1995,98,12,6.50
PRO000218,2018-04-01 12:30:00,Terminator 2: Judgment Day,Action,James Cameron,1991,137,0,8.00
PRO000219,2018-04-01 16:00:00,The Killing Fields,Biography,Roland Joffé,1984,141,12,7.50
PRO000220,2018-04-01 19:00:00,Red River,Action,Howard Hawks,1948,133,12,9.00
PRO000221,2018-04-02 10:30:00,Ayla: The Daughter of War,Biography,Can Ulkay,2017,125,12,8.50
PRO000222,2018-04-03 10:00:00,Butch Cassidy and the Sundance Kid,Biography,George Roy Hill,1969,110,6,7.50
PRO000223,2018-04-04 10:00:00,Red River,Action,Howard Hawks,1948,133,12,8.50
PRO000224,2018-04-04 13:00:00,Mary Poppins,Comedy,Robert Stevenson,1964,139,0,7.00
PRO000225,2018-04-05 10:30:00,A Night at the Opera,Comedy,Sam Wood,1935,96,12,8.50
PRO000226,2018-04-06 10:00:00,To Be or Not to Be,Comedy,Ernst Lubitsch,1942,99,12,7.50
PRO000227,2018-04-06 12:30:00,La haine,Crime,Mathieu Kassovitz,1995,98,12,8.50
PRO000228,2018-04-06 15:00:00,Guardians of the Galaxy Vol. 2,Action,James Gunn,2017,136,12,7.00
PRO000229,2018-04-07 10:30:00,Red River,Action,Howard Hawks,1948,133,12,8.50
PRO000230,2018-04-07 13:30:00,Ayla: The Daughter of War,Biography,Can Ulkay,2017,125,12,7.50
PRO000231,2018-04-07 16:30:00,To Be or Not to Be,Comedy,Ernst Lubitsch,1942,99,12,8.50
PRO000232,2018-04-07 19:00:00,Sweet Smell of Success,Drama,Alexander Mackendrick,1957,96,12,9.00
PRO000233,2018-04-08 10:00:00,Kimi no na wa.,Animation,Makoto Shinkai,2016,106,0,8.50
PRO000234,2018-04-08 12:30:00,Kimi no na wa.,Animation,Makoto Shinkai,2016,106,0,6.50
PRO000235,2018-04-08 15:00:00,Sing Street,Comedy,John Carney,2016,106,12,7.00
PRO000236,2018-04-08 17:30:00,Ayla: The Daughter of War,Biography,Can Ulkay,2017,125,12,8.50
PRO000237,2018-04-09 10:00:00,Il postino,Biography,Michael Radford,1994,108,0,8.50
PRO000238,2018-04-09 12:30:00,Midnight Cowboy,Drama,John Schlesinger,1969,113,12,6.50
PRO000239,2018-04-09 15:00:00,M.S. Dhoni: The Untold Story,Biography,Neeraj Pandey,2016,184,0,8.00
PRO000240,2018-04-10 10:00:00,Platoon,Drama,Oliver Stone,1986,120,12,8.50
PRO000241,2018-04-11 10:30:00,Du rififi chez les hommes,Crime,Jules Dassin,1955,118,12,7.00
PRO000242,2018-04-12 10:30:00,Harold and Maude,Comedy,Hal Ashby,1971,91,6,7.50
PRO000243,2018-04-13 10:00:00,Guardians of the Galaxy Vol. 2,Action,James Gunn,2017,136,12,8.50
PRO000244,2018-04-13 13:00:00,Butch Cassidy and the Sundance Kid,Biography,George Roy Hill,1969,110,6,8.50
PRO000245,2018-04-13 16:00:00,Patton,Biography,Franklin J. Schaffner,1970,172,0,7.00
PRO000246,2018-04-14 10:00:00,Miller's Crossing,Crime,Joel Coen,1990,115,16,7.50
PRO000247,2018-04-14 13:00:00,Jaws,Adventure,Steven Spielberg,1975,124,12,8.00
PRO000248,2018-04-14 16:00:00,La haine,Crime,Mathieu Kassovitz,1995,98,12,7.50
PRO000249,2018-04-14 18:30:00,La haine,Crime,Mathieu Kassovitz,1995,98,12,9.00
PRO000250,2018-04-15 10:00:00,Miller's Crossing,Crime,Joel Coen,1990,115,16,8.00
PRO000251,2018-04-15 13:00:00,Key Largo,Action,John Huston,1948,100,12,7.50
PRO000252,2018-04-15 15:30:00,Jaws,Adventure,Steven Spielberg,1975,124,12,8.00
PRO000253,2018-04-16 10:30:00,Jaws,Adventure,Steven Spielberg,1975,124,12,8.50
PRO000254,2018-04-16 13:30:00,The Deer Hunter,Drama,Michael Cimino,1978,183,12,7.00
PRO000255,2018-04-16 17:30:00,Jaws,Adventure,Steven Spielberg,1975,124,12,7.50
PRO000256,2018-04-17 10:00:00,Indiana Jones and the Last Crusade,Action,Steven Spielberg,1989,127,0,8.50
PRO000257,2018-04-17 13:00:00,Brief Encounter,Drama,David Lean,1945,86,0,6.50
PRO000258,2018-04-17 15:00:00,Manhattan,Comedy,Woody Allen,1979,96,16,6.50
PRO000259,2018-04-18 10:30:00,Indiana Jones and the Last Crusade,Action,Steven Spielberg,1989,127,0,8.00
PRO000260,2018-04-18 13:30:00,Brief Encounter,Drama,David Lean,1945,86,0,7.50
PRO000261,2018-04-18 16:00:00,Rosemary's Baby,Drama,Roman Polanski,1968,137,12,8.00
PRO000262,2018-04-19 10:30:00,To Be or Not to Be,Comedy,Ernst Lubitsch,1942,99,12,8.00
PRO000263,2018-04-19 13:00:00,Jaws,Adventure,Steven Spielberg,1975,124,12,8.00
PRO000264,2018-04-19 16:00:00,The Innocents,Horror,Jack Clayton,1961,100,12,7.00
PRO000265,2018-04-20 10:00:00,What Ever Happened to Baby Jane?,Drama,Robert Aldrich,1962,134,12,6.50
PRO000266,2018-04-21 10:00:00,Höstsonaten,Drama,Ingmar Bergman,1978,99,0,7.00
PRO000267,2018-04-21 12:30:00,Manhattan,Comedy,Woody Allen,1979,96,16,8.00
